date,transport_type,value
03/01/2020,cars,1.03
03/01/2020,light_commercial_vehicles,1.11
03/01/2020,heavy_goods_vehicles,1.08
03/01/2020,all_motor_vehicles,1.04
03/01/2020,tfl_tube,1.03
03/01/2020,tfl_bus,1.02
03/01/2020,national_rail,0.95
03/02/2020,cars,1.02
03/02/2020,light_commercial_vehicles,1.06
03/02/2020,heavy_goods_vehicles,1.03
03/02/2020,all_motor_vehicles,1.03
03/02/2020,tfl_tube,0.93
03/02/2020,tfl_bus,0.97
03/02/2020,national_rail,0.95
03/03/2020,cars,1.01
03/03/2020,light_commercial_vehicles,1.05
03/03/2020,heavy_goods_vehicles,1.02
03/03/2020,all_motor_vehicles,1.02
03/03/2020,tfl_tube,0.94
03/03/2020,tfl_bus,0.96
03/03/2020,national_rail,0.95
03/04/2020,cars,1.01
03/04/2020,light_commercial_vehicles,1.04
03/04/2020,heavy_goods_vehicles,1.03
03/04/2020,all_motor_vehicles,1.01
03/04/2020,tfl_tube,0.93
03/04/2020,tfl_bus,0.97
03/04/2020,national_rail,0.96
03/05/2020,cars,1
03/05/2020,light_commercial_vehicles,1.03
03/05/2020,heavy_goods_vehicles,1.02
03/05/2020,all_motor_vehicles,1
03/05/2020,tfl_tube,0.9
03/05/2020,tfl_bus,0.92
03/05/2020,national_rail,0.96
03/06/2020,cars,1.02
03/06/2020,light_commercial_vehicles,1.03
03/06/2020,heavy_goods_vehicles,1.02
03/06/2020,all_motor_vehicles,1.02
03/06/2020,tfl_tube,0.9
03/06/2020,tfl_bus,0.96
03/06/2020,national_rail,0.99
03/07/2020,cars,1.01
03/07/2020,light_commercial_vehicles,1.09
03/07/2020,heavy_goods_vehicles,1.08
03/07/2020,all_motor_vehicles,1.02
03/07/2020,tfl_tube,0.91
03/07/2020,tfl_bus,0.93
03/07/2020,national_rail,1
03/08/2020,cars,1.05
03/08/2020,light_commercial_vehicles,1.13
03/08/2020,heavy_goods_vehicles,1.12
03/08/2020,all_motor_vehicles,1.06
03/08/2020,cycling,0.89
03/08/2020,tfl_tube,0.85
03/08/2020,tfl_bus,0.95
03/08/2020,national_rail,0.99
03/09/2020,cars,1.01
03/09/2020,light_commercial_vehicles,1.07
03/09/2020,heavy_goods_vehicles,1.04
03/09/2020,all_motor_vehicles,1.03
03/09/2020,cycling,1.05
03/09/2020,tfl_tube,0.88
03/09/2020,tfl_bus,0.95
03/09/2020,bus_excluding_london,1.01
03/09/2020,national_rail,0.98
03/10/2020,cars,0.99
03/10/2020,light_commercial_vehicles,1.05
03/10/2020,heavy_goods_vehicles,1.03
03/10/2020,all_motor_vehicles,1.01
03/10/2020,cycling,0.82
03/10/2020,tfl_tube,0.86
03/10/2020,tfl_bus,0.97
03/10/2020,bus_excluding_london,1.02
03/10/2020,national_rail,0.97
03/11/2020,cars,0.99
03/11/2020,light_commercial_vehicles,1.04
03/11/2020,heavy_goods_vehicles,1.03
03/11/2020,all_motor_vehicles,1
03/11/2020,cycling,1.18
03/11/2020,tfl_tube,0.84
03/11/2020,tfl_bus,0.93
03/11/2020,bus_excluding_london,0.98
03/11/2020,national_rail,0.94
03/12/2020,cars,0.98
03/12/2020,light_commercial_vehicles,1.02
03/12/2020,heavy_goods_vehicles,1.02
03/12/2020,all_motor_vehicles,0.99
03/12/2020,cycling,1.2
03/12/2020,tfl_tube,0.78
03/12/2020,tfl_bus,0.92
03/12/2020,bus_excluding_london,0.98
