"Date
[note 1]",Weekday,Cars,Light Commercial Vehicles,Heavy Goods Vehicles,All motor vehicles,National Rail,Transport for London Tube,Transport for London Bus,Bus (excluding London),Cycling,Revised,Notes by day
01-Mar-20,Sun,1.03,1.11,1.08,1.04,0.95,1.03,1.02,,,[z],[note 11]
02-Mar-20,Mon,1.02,1.06,1.03,1.03,0.95,0.93,0.97,,,[z],[note 11]
03-Mar-20,Tue,1.01,1.05,1.02,1.02,0.95,0.94,0.96,,,[z],[note 11]
04-Mar-20,Wed,1.01,1.04,1.03,1.01,0.96,0.93,0.97,,,[z],[note 11]
05-Mar-20,Thu,1.00,1.03,1.02,1.00,0.96,0.90,0.92,,,[z],[note 11]
06-Mar-20,Fri,1.02,1.03,1.02,1.02,0.99,0.90,0.96,,,[z],[note 11]
07-Mar-20,Sat,1.01,1.09,1.08,1.02,1.00,0.91,0.93,,,[z],[note 11]
08-Mar-20,Sun,1.05,1.13,1.12,1.06,0.99,0.85,0.95,,0.89,[z],[note 11]
09-Mar-20,Mon,1.01,1.07,1.04,1.03,0.98,0.88,0.95,1.01,1.05,[z],[z]
10-Mar-20,Tue,0.99,1.05,1.03,1.01,0.97,0.86,0.97,1.02,0.82,[z],[z]
11-Mar-20,Wed,0.99,1.04,1.03,1.00,0.94,0.84,0.93,0.98,1.18,[z],[z]
12-Mar-20,Thu,0.98,1.02,1.02,0.99,0.92,0.78,0.92,0.98,1.20,[z],[z]
13-Mar-20,Fri,0.98,1.00,1.02,0.98,0.90,0.71,0.88,0.94,0.99,[z],[z]
14-Mar-20,Sat,0.93,1.02,1.08,0.95,0.88,0.60,0.84,0.85,1.27,[z],[z]
15-Mar-20,Sun,0.94,1.05,1.12,0.96,0.85,0.52,0.75,0.85,0.93,[z],[z]
16-Mar-20,Mon,0.96,1.03,1.04,0.98,0.81,0.58,0.79,0.88,1.04,[z],[z]
17-Mar-20,Tue,0.86,0.95,1.03,0.89,0.75,0.42,0.70,0.77,0.77,[z],[z]
18-Mar-20,Wed,0.80,0.90,1.00,0.83,0.68,0.34,0.66,0.62,0.93,[z],[z]
19-Mar-20,Thu,0.79,0.88,1.00,0.82,0.62,0.28,0.59,0.58,0.91,[z],[z]
20-Mar-20,Fri,0.78,0.85,0.98,0.81,0.55,0.23,0.52,0.53,0.82,[z],[z]
21-Mar-20,Sat,0.70,0.79,1.02,0.73,0.49,0.12,0.40,0.40,1.18,[z],[z]
22-Mar-20,Sun,0.66,0.73,1.01,0.69,0.47,0.11,0.32,0.35,1.26,[z],[z]
23-Mar-20,Mon,0.64,0.77,0.97,0.69,0.40,0.14,0.31,0.27,0.86,[z],[z]
